concessionaria,praca_de_pedagio,rodovia,uf,municipio,localizacao,velocidadeAtual,velocidadeLivre,confiabilidade,coordenadas_inicial,coordenadas_final,dataHora,isFeriado
VIA 040,P8 - Capim Branco,BR-40,MG,Capim Branco,"-19.601210,-44.221960",90,90,1.0,"{'latitude': -19.62365938800681, 'longitude': -44.20495709036592}","{'latitude': -19.580469120747406, 'longitude': -44.22878449415526}",2024-10-21_09-48-26,0
VIA 040,P9 - Itabirito,BR-40,MG,Itabirito,"-20.272880,-43.951120",88,88,1.0,"{'latitude': -20.42043909019989, 'longitude': -43.88152425733432}","{'latitude': -20.20394721921884, 'longitude': -43.97411143034094}",2024-10-21_09-48-27,0
VIA ARAUCÁRIA,P01 São Luiz do Purunã,BR-277,PR,Balsa Nova,"-25.470000,-49.660000",86,86,1.0,"{'latitude': -25.446756625713455, 'longitude': -49.57613026480567}","{'latitude': -25.471113748155684, 'longitude': -49.660843813247254}",2024-10-21_09-48-28,0
VIA ARAUCÁRIA,P02 Porto Amazonas,BR-277,PR,Porto Amazonas,"-25.470000,-49.900000",95,95,1.0,"{'latitude': -25.464652320250984, 'longitude': -49.73293354495729}","{'latitude': -25.434615539801232, 'longitude': -49.996274167205286}",2024-10-21_09-48-30,0
VIA ARAUCÁRIA,P03 Irati,BR-277,PR,Irati,"-25.440000,-50.720000",84,84,1.0,"{'latitude': -25.39328544461582, 'longitude': -50.80793475518186}","{'latitude': -25.464716644895184, 'longitude': -50.57426070575002}",2024-10-21_09-48-31,0
VIA ARAUCÁRIA,P04 Imbituva,BR-373,PR,Imbituva,"-25.160000,-50.540000",91,91,1.0,"{'latitude': -25.18102479896208, 'longitude': -50.596615576789844}","{'latitude': -25.08551938381226, 'longitude': -50.41004111767049}",2024-10-21_09-48-32,0
VIA ARAUCÁRIA,P05 Lapa,BR-476,PR,Lapa,"-25.725664,-49.699992",72,78,0.917206,"{'latitude': -25.685255940697832, 'longitude': -49.535222554005486}","{'latitude': -25.75741675395481, 'longitude': -49.7303411899438}",2024-10-21_09-48-34,0
VIA BAHIA,Praça 1,BR-324,BA,Simões Filho,"-12.751217,-38.431574",91,91,1.0,"{'latitude': -12.627249888259222, 'longitude': -38.480425676908425}","{'latitude': -12.82118568228583, 'longitude': -38.4081629427169}",2024-10-21_09-48-35,0
VIA BAHIA,Praça 2,BR-324,BA,Amélia Rodrigues,"-12.451647,-38.708421",92,92,1.0,"{'latitude': -12.499154301978997, 'longitude': -38.644217452650025}","{'latitude': -12.403961339199025, 'longitude': -38.754044524103875}",2024-10-21_09-48-37,0
VIA BAHIA,Praça 3,BR-116,BA,Rafael Jambeiro,"-12.531931,-39.415020",95,95,1.0,"{'latitude': -12.54442462824682, 'longitude': -39.44024746758868}","{'latitude': -12.503415037226258, 'longitude': -39.35714592676544}",2024-10-21_09-48-38,0
VIA BAHIA,Praça 4,BR-116,BA,Brejões,"-13.008714,-39.957042",73,73,1.0,"{'latitude': -12.847140067087455, 'longitude': -39.84136914365027}","{'latitude': -13.015116092400094, 'longitude': -39.95862727518161}",2024-10-21_09-48-39,0
VIA BAHIA,Praça 5,BR-116,BA,Jequié,"-14.055969,-40.204450",76,76,1.0,"{'latitude': -14.027491749297482, 'longitude': -40.19602557183151}","{'latitude': -14.153838569123591, 'longitude': -40.247424743195864}",2024-10-21_09-48-41,0
VIA BAHIA,Praça 6,BR-116,BA,Planalto,"-14.646178,-40.455782",28,35,0.95,"{'latitude': -14.647925630477035, 'longitude': -40.456520370314024}","{'latitude': -14.64426571301773, 'longitude': -40.45507197744564}",2024-10-21_09-48-42,0
VIA BAHIA,Praça 7,BR-116,BA,Vitória da Conquista,"-15.232323,-41.100949",83,83,1.0,"{'latitude': -15.371552056234869, 'longitude': -41.18936826968317}","{'latitude': -15.20159656036316, 'longitude': -41.08209868452559}",2024-10-21_09-48-43,0
